NAME,LATITUDE,LONGITUDE
Lohbrügger Markt/Ludwig-Rosenberg-Ring,10.206894,53.494675
Bahnhof Bergedorf/Johann-Meyer-Straße,10.206105,53.490496
S Allermöhe/Walter-Rudolphi-Weg,10.158515,53.490126
Friedrich-Ebert-Damm/Helbingtwiete,10.095665,53.588172
Charlie-Mills-Straße/Friedrich-Ebert-Damm,10.106858,53.59145
Rahlstedter Weg/Berner Heerweg,10.12021,53.606246
Gründgensstraße/César-Klein-Ring,10.058096,53.610149
Traberweg/Eckerkoppel,10.101459,53.598017
Röntgenstraße/Philips,10.0122088,53.6234809
Bleickenallee/Kinderkrankenhaus Altona,9.9129134,53.5512881
Osterstraße/Heußweg,9.9520709,53.5759831
Bahrenfelder Chaussee/Von-Sauer-Straße,9.9108696,53.5659729
Sieldeich/ Gresham Carat Hotel,10.021814,53.528309
